( interface , interface, LineNo: 1)
( cow , ID, LineNo: 1)
( { , {, LineNo: 1)
( public , public, LineNo: 2)
( int , DT, LineNo: 2)

( a , ID, LineNo: 2)
( = , =, LineNo: 2)
( 10 , int_const, LineNo: 2)
( ; , ;, LineNo: 2)
( public , public, LineNo: 3)
( Static , AM0, LineNo: 3)
( int , DT, LineNo: 3)
( a , ID, LineNo: 3)
( = , =, LineNo: 3)
( 10 , int_const, LineNo: 3)
( ; , ;, LineNo: 3)
( public , public, LineNo: 4)
( animalSound , ID, LineNo: 4)
( ( , (, LineNo: 4)
( ) , ), LineNo: 4)
( : , :, LineNo: 4)
( int , DT, LineNo: 4)
( ; , ;, LineNo: 4)
( } , }, LineNo: 7)
( $ , $, Line: 8)
